Name,Player ID,Helmet URL,Height (in),Height,Overall Rating,Jersey #,Class Year,Redshirt Status,Hometown,Home State,Team ID,Team,Team Logo URL,Conference ID,Conference,Conference Logo URL,Position ID,Position (Short),Position,Unit,Unit ID,Speed,Acceleration,Strength,Agility,Awareness,Jumping,Injury,Stamina,Toughness,Carrying,Break Tackle,Trucking,Change of Direction,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Break Sack,Run Block,Pass Block,Impact Blocking,Run Block Power,Run Block Finesse,Pass Block Power,Pass Block Finesse,Lead Block,Throw Power,Throw Under Pressure,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Throw on the Run,Play Action,Tackle,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press,Catching,Spectacular Catch,Catch in Traffic,Short Route Running,Medium Route Running,Deep Route Running,Kick Accuracy,Kick Power,Kick Return,runningStyle,Iteration ID,Iteration
Jyrin Johnson,29125,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/14.png?im=FaceCrop,padding=0.7",76,"6'4""",80,7,Senior,Previous,Gonzales,Louisiana,14,Bowling Green,https://drop-assets.ea.com/images/3u5vTB7zmYHQcylDrAxi62/96a264649e53def5292c0447eb73b194/BowlingGreen.png,MAC,MAC,https://drop-assets.ea.com/images/46tLd8HfZDWQQqBvxwZoV7/d9f8b5dbc60061d142ceabaa6c3780b5/MAC.png,TE,TE,Tight End,Offense,offense,81,85,74,81,81,86,86,88,87,74,71,66,78,77,70,74,76,39,59,55,56,49,55,54,56,55,29,43,23,29,24,36,31,37,34,34,41,34,61,36,31,42,17,85,84,81,80,77,65,47,40,50,0,cfb-26-national-championship,National Championship
K.D. Hutchinson,21473,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/123.png?im=FaceCrop,padding=0.7",68,"5'8""",80,2,Junior,Previous,Valley,Alabama,123,Western Kentucky,https://drop-assets.ea.com/images/3ti1fULvE0s4tWUklXnlD4/169b6bee533f77b3d99cd0902704e200/WesternKentucky.png,CUSA,Conference USA,https://drop-assets.ea.com/images/1kUTTqEGCfMLDa2EtSIgk4/4e658b321cf69c92b4fc2b06fc1ef3b6/CUSA.png,WR,WR,Wide Receiver,Offense,offense,92,94,72,89,82,91,76,93,81,68,70,51,88,80,32,81,85,43,51,34,34,30,27,30,22,34,11,39,10,16,36,18,35,37,32,29,37,40,56,54,46,42,39,84,78,79,88,85,78,40,25,96,0,cfb-26-national-championship,National Championship
Kaden Moreau,7343,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/106.png?im=FaceCrop,padding=0.7",76,"6'4""",80,75,Junior,Previous,Pineville,Louisiana,106,Louisiana,https://drop-assets.ea.com/images/752ZhdgGIgkfhMVBiobEx4/8e6e76e182e0e1758d54cafd92079b2d/Louisiana.png,Sun Belt,Sun Belt,https://drop-assets.ea.com/images/29difgczGFnZz2xDSuhTRV/da1c3b32970ace832be0de3c9d89ff7b/SunBelt.png,LG,LG,Left Guard,Offense,offense,64,74,84,67,80,71,84,92,90,57,33,34,59,35,35,35,41,37,84,76,87,87,81,79,76,90,36,34,12,28,18,24,25,34,38,45,42,39,34,36,41,42,40,35,35,36,35,38,37,40,28,39,0,cfb-26-national-championship,National Championship
Kadin Semonza,21814,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/101.png?im=FaceCrop,padding=0.7",71,"5'11""",80,3,Sophomore,Previous,Huntington Beach,California,101,Tulane,https://drop-assets.ea.com/images/2bzOwGrzuzUYdzLM8l26H/550fca554668c6c58c4412bf587b2404/Tulane.png,AAC,The American,https://drop-assets.ea.com/images/5ukEVuuXMotcVidwoJRkdS/e15cc52f959fc4731c169c510cadcd21/AAC.png,QB,QB,Quarterback,Offense,offense,79,83,60,83,85,81,88,93,91,61,72,52,84,80,52,77,82,61,35,23,36,34,34,24,24,32,88,73,87,85,81,80,69,31,21,22,22,38,38,22,22,32,20,55,35,33,31,33,32,60,71,25,0,cfb-26-national-championship,National Championship
Kaleb Jackson,3985,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/48.png?im=FaceCrop,padding=0.7",72,"6'0""",80,28,Junior,Eligible,Baton Rouge,Louisiana,48,LSU,https://drop-assets.ea.com/images/1MaGgfinx2iUlAcy7kQyCR/32691ceece5cf069882d2c7329f6b228/LSU.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,HB,HB,Halfback,Offense,offense,88,87,81,82,78,85,87,83,92,84,79,87,78,75,88,75,78,28,58,61,60,57,57,57,59,55,30,40,11,14,30,19,36,64,43,44,55,67,59,41,42,69,40,62,52,64,56,54,43,39,32,78,0,cfb-26-national-championship,National Championship
Kanye Roberts,23332,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/127.png?im=FaceCrop,padding=0.7",72,"6'0""",80,2,Junior,Previous,Wallace,North Carolina,127,Appalachian State,https://drop-assets.ea.com/images/i2kz0MJ7LiR1MainFV06z/028ed5700c61132c54999e9e0117cdc9/AppalachianState.png,Sun Belt,Sun Belt,https://drop-assets.ea.com/images/29difgczGFnZz2xDSuhTRV/da1c3b32970ace832be0de3c9d89ff7b/SunBelt.png,HB,HB,Halfback,Offense,offense,90,92,72,87,80,85,88,88,85,76,80,81,83,82,65,80,82,27,44,53,39,33,32,30,30,38,28,40,28,21,11,11,34,46,37,39,46,49,47,48,45,54,35,67,52,67,69,62,58,44,34,75,0,cfb-26-national-championship,National Championship
Kareem Harden,1354,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/21.png?im=FaceCrop,padding=0.7",77,"6'5""",80,55,Senior,Previous,Fort Lauderdale,Florida,21,Colorado,https://drop-assets.ea.com/images/2AYHhc74pJtMRVDGKJSX9j/dce59f1380d86ad398ee57260fc998e1/Colorado.png,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,LT,LT,Left Tackle,Offense,offense,65,74,90,63,85,64,93,87,88,50,46,41,55,45,43,30,24,45,79,84,88,78,79,85,83,84,14,37,12,20,28,10,27,45,61,31,58,27,45,28,28,65,24,29,27,27,28,30,30,38,29,28,0,cfb-26-national-championship,National Championship
Keanu Williams,9982,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/105.png?im=FaceCrop,padding=0.7",77,"6'5""",80,99,Senior,Previous,Clovis,California,105,UCLA,https://drop-assets.ea.com/images/7Ke0vcYhWWjGUnLmwfuxgR/151a1a130e50e95584db494120f316f6/UCLA.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,DT,DT,Defensive Tackle,Defense,defense,63,75,90,61,84,77,92,87,88,51,45,44,50,27,42,27,27,35,57,67,80,67,54,55,62,58,37,31,11,17,20,30,28,85,83,65,80,80,84,39,23,83,33,35,27,27,27,27,27,37,41,31,0,cfb-26-national-championship,National Championship
Kedren Young,7615,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/70.png?im=FaceCrop,padding=0.7",71,"5'11""",80,21,Freshman,Eligible,Lufkin,Texas,70,Notre Dame,https://drop-assets.ea.com/images/4wmDuMxQ4HuXYLQwzMSRzs/1373b45326a9955e0ee122112c848131/NotreDame.png,Independent,Independent,https://drop-assets.ea.com/images/3V21BpfMB6pMbz8BVB5bCz/0bf067051c9eee0dddbaebb8b4e815c2/Independent.png,HB,HB,Halfback,Offense,offense,88,91,78,84,80,87,87,84,90,83,79,83,84,73,80,75,81,46,57,57,60,56,55,59,54,55,27,34,20,19,32,32,47,55,41,40,47,57,55,45,47,59,38,67,66,65,64,59,52,44,28,95,0,cfb-26-national-championship,National Championship
Keelon Russell,23933,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/3.png?im=FaceCrop,padding=0.7",75,"6'3""",80,12,Freshman,Eligible,Duncanville,Texas,3,Alabama,https://drop-assets.ea.com/images/4z6TcVZ4bJOd6WDZGPaxJM/36515e925d105ec3a40f28a6e03011ac/Alabama.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,QB,QB,Quarterback,Offense,offense,88,92,63,90,59,89,90,87,92,68,77,59,88,85,62,84,87,85,45,45,39,44,44,43,43,45,94,65,82,84,78,84,72,35,35,36,25,38,38,29,26,39,28,60,35,35,28,25,21,25,30,42,0,cfb-26-national-championship,National Championship
Keenan Phillips,27746,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/87.png?im=FaceCrop,padding=0.7",70,"5'10""",80,21,Sophomore,Eligible,Bainbridge,Georgia,87,South Alabama,https://drop-assets.ea.com/images/4KzXyWeXYzGs3HUqaO6NU4/20789690b0d470892a235e014414e6f2/SouthAlabama.png,Sun Belt,Sun Belt,https://drop-assets.ea.com/images/29difgczGFnZz2xDSuhTRV/da1c3b32970ace832be0de3c9d89ff7b/SunBelt.png,HB,HB,Halfback,Offense,offense,89,91,65,88,78,87,85,84,84,80,78,60,87,78,60,78,81,42,28,45,43,46,35,28,32,31,19,24,37,34,33,19,34,42,48,33,28,34,67,23,24,25,48,68,64,65,70,57,49,27,26,90,0,cfb-26-national-championship,National Championship
Keith Adams Jr.,105,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/20.png?im=FaceCrop,padding=0.7",69,"5'9""",80,19,Junior,Previous,St. George,Utah,20,Clemson,https://drop-assets.ea.com/images/Hdi1J4jV9KOKMUekOmWRi/26d6376da376f469011ca707d4903cd4/Clemson.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,HB,HB,Halfback,Offense,offense,85,87,78,83,81,82,90,86,90,83,81,87,79,79,81,78,82,37,49,57,51,38,35,58,55,44,35,38,16,31,20,30,48,57,42,42,48,58,48,31,34,60,35,59,49,60,54,43,34,46,30,64,0,cfb-26-national-championship,National Championship
Kenton Jerido,22293,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/87.png?im=FaceCrop,padding=0.7",75,"6'3""",80,69,Junior,Previous,Tuscaloosa,Alabama,87,South Alabama,https://drop-assets.ea.com/images/4KzXyWeXYzGs3HUqaO6NU4/20789690b0d470892a235e014414e6f2/SouthAlabama.png,Sun Belt,Sun Belt,https://drop-assets.ea.com/images/29difgczGFnZz2xDSuhTRV/da1c3b32970ace832be0de3c9d89ff7b/SunBelt.png,RG,RG,Right Guard,Offense,offense,49,57,90,49,78,57,93,85,89,58,42,45,44,28,43,27,24,48,71,82,83,75,72,88,85,73,33,25,19,21,34,25,30,45,59,25,56,25,34,24,20,64,24,24,26,24,27,27,24,37,31,39,0,cfb-26-national-championship,National Championship
Keon Keeley,10127,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/3.png?im=FaceCrop,padding=0.7",77,"6'5""",80,31,Sophomore,Previous,Tampa,Florida,3,Alabama,https://drop-assets.ea.com/images/4z6TcVZ4bJOd6WDZGPaxJM/36515e925d105ec3a40f28a6e03011ac/Alabama.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,LE,LEDG,Left Edge,Defense,defense,80,89,79,81,73,84,92,79,82,58,44,42,73,32,44,36,31,36,60,68,74,69,57,55,62,56,24,36,24,24,24,24,36,77,81,90,79,85,74,63,60,80,39,50,35,44,35,35,35,36,36,40,0,cfb-26-national-championship,National Championship
Kevin Cline,10492,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/13.png?im=FaceCrop,padding=0.7",79,"6'7""",80,79,Senior,Previous,Boca Raton,Florida,13,Boston College,https://drop-assets.ea.com/images/2pKL8LTfGnXKMJkk5GWEik/24309d0a4dcbc824648ba1ea54111588/BostonCollege.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,RT,RT,Right Tackle,Offense,offense,55,64,90,57,83,58,89,87,89,50,41,38,48,41,42,27,28,41,78,79,84,84,81,86,82,79,22,32,34,16,37,28,35,39,52,25,50,30,36,19,24,58,26,24,28,24,29,25,29,29,42,27,0,cfb-26-national-championship,National Championship
Kevin Jobity Jr.,18961,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/91.png?im=FaceCrop,padding=0.7",76,"6'4""",80,94,Senior,Eligible,Buffalo,New York,91,Syracuse,https://drop-assets.ea.com/images/6mw0h75mqLhrgc981LNVfR/d5e60ff4e6c6c85bb883a9bd1b03a3a8/Syracuse.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,DT,DT,Defensive Tackle,Defense,defense,76,82,80,71,87,75,88,84,80,53,40,36,64,36,36,26,28,28,41,48,68,49,40,44,48,37,15,30,13,14,26,33,25,79,89,75,73,89,86,54,58,82,22,28,28,30,30,29,26,29,47,34,0,cfb-26-national-championship,National Championship
Keyan Burnett,21232,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/4.png?im=FaceCrop,padding=0.7",78,"6'6""",80,88,Senior,Eligible,Ladera Ranch,California,4,Arizona,https://drop-assets.ea.com/images/7lba5Xa32CpyVZXMaJli3l/ec5b30d20c7da9832838ebe314bb15ca/Arizona.png,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,TE,TE,Tight End,Offense,offense,82,89,73,82,82,87,87,92,95,73,69,67,75,73,71,62,67,27,69,58,72,59,50,55,48,68,15,25,28,27,20,27,38,53,50,51,54,55,55,50,60,80,33,81,81,82,73,75,65,46,26,62,0,cfb-26-national-championship,National Championship
Khobie Martin,20157,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/38.png?im=FaceCrop,padding=0.7",72,"6'0""",80,28,Freshman,Previous,Fishers,Indiana,38,Indiana,https://drop-assets.ea.com/images/4toZEtAPrEnU1X3Dqwbh93/68d698b574fe80c91a0946d56fa29da5/Indiana.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,HB,HB,Halfback,Offense,offense,87,90,67,85,77,83,84,87,83,83,79,75,86,82,74,77,83,39,45,53,50,34,34,55,54,42,18,24,13,31,27,14,24,38,31,33,41,41,48,33,62,46,35,59,48,49,51,49,41,33,47,63,0,cfb-26-national-championship,National Championship
King Mack,19063,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/79.png?im=FaceCrop,padding=0.7",70,"5'10""",80,16,Junior,Eligible,Miami,Florida,79,Penn State,https://drop-assets.ea.com/images/53QaOtTut7hjYgfTpmaxzL/c02f2128a7723c7ad21c1244a07bf05f/PennState.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,SS,SS,Strong Safety,Defense,defense,98,94,72,89,76,88,86,94,96,68,43,57,86,77,60,72,66,42,49,64,58,67,56,57,63,57,32,40,22,30,16,16,47,71,41,32,54,80,77,77,71,81,64,75,44,45,44,45,48,48,26,70,0,cfb-26-national-championship,National Championship
Kingston Lopa,21388,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/77.png?im=FaceCrop,padding=0.7",77,"6'5""",80,2,Freshman,Previous,Sacramento,California,77,Oregon,https://drop-assets.ea.com/images/73d1889HUnLCQJxRhI72lR/31a586ed1836b72aacd5a5aee3f7fda2/Oregon.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,FS,FS,Free Safety,Defense,defense,86,90,67,85,79,85,82,88,85,28,42,53,84,48,56,46,45,42,57,60,58,65,55,55,61,55,21,35,35,21,33,11,35,80,39,48,64,83,81,70,75,82,75,69,39,45,26,26,29,44,30,45,0,cfb-26-national-championship,National Championship
Kyle Sfarcioc,29006,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/16.png?im=FaceCrop,padding=0.7",76,"6'4""",80,64,Junior,Previous,Peoria,Arizona,16,BYU,https://drop-assets.ea.com/images/5xXHh2WevljNaWT9Oyq50d/27a9c236d85a8557c9f26e267615dcf2/BYU.png,Big 12,Big 12,https://drop-assets.ea.com/images/3gwMcSmhfgpvy3vrlTmg4E/cf43c91cd3cea31f6aef33a0c3136464/Big12.png,RG,RG,Right Guard,Offense,offense,65,72,86,60,80,66,87,87,89,50,47,49,53,49,49,24,24,44,85,81,87,82,82,84,78,86,12,31,16,24,12,16,31,50,65,26,61,26,66,26,24,67,29,28,29,28,24,24,24,35,37,26,0,cfb-26-national-championship,National Championship
Kyle Konrardy,31496,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/40.png?im=FaceCrop,padding=0.7",73,"6'1""",80,97,Sophomore,Previous,Dubuque,Iowa,40,Iowa State,https://drop-assets.ea.com/images/7BO8oJ8aZqkXCMxay8JUk2/4ca940cbeba2e7c0b4c188950136bf8e/IowaState.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,K,K,Kicker,Special Teams,special-teams,59,65,45,55,67,63,92,84,76,24,34,24,55,23,22,22,24,12,29,21,24,15,14,13,12,12,32,13,34,23,21,21,21,32,23,24,25,22,34,21,21,31,13,23,25,22,21,14,12,84,98,25,0,cfb-26-national-championship,National Championship
Kyler Kasper,7113,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/77.png?im=FaceCrop,padding=0.7",78,"6'6""",80,3,Junior,Previous,Chandler,Arizona,77,Oregon,https://drop-assets.ea.com/images/73d1889HUnLCQJxRhI72lR/31a586ed1836b72aacd5a5aee3f7fda2/Oregon.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,WR,WR,Wide Receiver,Offense,offense,90,89,73,87,87,91,87,85,91,70,74,65,83,81,72,76,78,39,59,36,43,37,39,38,27,39,26,32,13,10,24,32,40,59,44,44,50,61,44,37,50,68,33,86,86,84,79,82,78,25,43,64,0,cfb-26-national-championship,National Championship
Kyri Shoels,30946,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/85.png?im=FaceCrop,padding=0.7",72,"6'0""",80,4,Junior,Previous,Las Vegas,Nevada,85,San Jose State,https://drop-assets.ea.com/images/37urU87ug4Csi3bS1263ay/6dc652318a289efe924c2d13250b05f1/SanJoseState.png,MW,Mountain West,https://drop-assets.ea.com/images/4OmYsw94dTPkBlRXiRVIa1/afafe527da38d4d316369849d2975e1f/MW.png,WR,WR,Wide Receiver,Offense,offense,89,91,53,87,82,82,81,88,86,71,70,46,85,70,22,75,77,42,50,39,38,36,36,33,23,35,23,48,37,36,28,30,47,53,40,38,49,53,39,36,42,57,31,84,82,82,83,87,84,25,29,80,0,cfb-26-national-championship,National Championship
Lamar Radcliffe,5816,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/85.png?im=FaceCrop,padding=0.7",73,"6'1""",80,2,Sophomore,Eligible,Sacramento,California,85,San Jose State,https://drop-assets.ea.com/images/37urU87ug4Csi3bS1263ay/6dc652318a289efe924c2d13250b05f1/SanJoseState.png,MW,Mountain West,https://drop-assets.ea.com/images/4OmYsw94dTPkBlRXiRVIa1/afafe527da38d4d316369849d2975e1f/MW.png,HB,HB,Halfback,Offense,offense,85,87,82,81,81,82,90,84,91,82,79,83,81,75,86,77,78,34,55,62,52,43,42,40,39,49,25,28,25,17,22,19,35,62,46,49,57,69,41,29,53,71,32,59,49,51,49,43,40,36,42,62,0,cfb-26-national-championship,National Championship
Landan Brown,10449,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/134.png?im=FaceCrop,padding=0.7",71,"5'11""",80,34,Sophomore,Previous,Denton,Texas,134,Sam Houston,https://drop-assets.ea.com/images/4kzaFnvSr0zECZ5F06xR1d/99962ccc9fc21d3cda4405a0a4132016/SamHouston.png,CUSA,Conference USA,https://drop-assets.ea.com/images/1kUTTqEGCfMLDa2EtSIgk4/4e658b321cf69c92b4fc2b06fc1ef3b6/CUSA.png,HB,HB,Halfback,Offense,offense,86,89,83,80,82,75,89,85,90,84,81,77,83,80,57,79,81,27,51,59,54,40,40,56,57,41,30,29,30,19,26,10,24,65,49,46,56,70,27,26,27,74,25,76,56,72,75,58,61,48,48,61,0,cfb-26-national-championship,National Championship
Landon Sims,525,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/35.png?im=FaceCrop,padding=0.7",74,"6'2""",80,30,Senior,Previous,Gig Harbor,Washington,35,Hawaii,https://drop-assets.ea.com/images/2iUXxioJnWz9F6GzPATEuq/02fec2fa81f124b1c6af13a459b9f770/Hawaii.png,MW,Mountain West,https://drop-assets.ea.com/images/4OmYsw94dTPkBlRXiRVIa1/afafe527da38d4d316369849d2975e1f/MW.png,HB,HB,Halfback,Offense,offense,85,88,76,79,80,79,91,88,92,83,79,82,79,82,81,78,83,39,61,69,65,57,55,57,59,60,39,25,35,34,28,20,31,50,38,40,46,52,50,31,35,58,36,70,67,75,71,67,61,34,35,72,0,cfb-26-national-championship,National Championship
Lawayne McCoy,3481,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/30.png?im=FaceCrop,padding=0.7",73,"6'1""",80,7,Sophomore,Eligible,Miami,Florida,30,Florida State,https://drop-assets.ea.com/images/6OoJRE18HbqAbwrQkD2Ois/716e78dbea429dcfec491054bbd52733/FloridaState.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,WR,WR,Wide Receiver,Offense,offense,91,92,58,90,82,89,71,83,74,65,72,49,88,79,44,84,86,27,37,32,34,28,27,28,17,31,34,44,16,20,13,31,25,36,29,31,38,37,64,52,51,41,43,84,86,82,82,86,78,40,36,80,0,cfb-26-national-championship,National Championship
Lee Molette III,21625,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/23.png?im=FaceCrop,padding=0.7",73,"6'1""",80,21,Senior,Eligible,Brentwood,Tennessee,23,Connecticut,https://drop-assets.ea.com/images/4Qga0qjbP7l4FzaVhI1uI/7c2e749bdda1037b331c751fcd2f5a90/Connecticut.png,AAC,The American,https://drop-assets.ea.com/images/5ukEVuuXMotcVidwoJRkdS/e15cc52f959fc4731c169c510cadcd21/AAC.png,SS,SS,Strong Safety,Defense,defense,86,89,66,83,83,85,84,92,88,60,39,45,82,51,49,48,51,42,47,57,47,62,54,52,58,53,36,31,19,20,33,31,35,79,38,32,58,85,82,74,75,77,65,66,28,26,30,31,29,34,32,51,0,cfb-26-national-championship,National Championship
LJ McCray,18302,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/29.png?im=FaceCrop,padding=0.7",78,"6'6""",80,11,Sophomore,Eligible,Daytona Beach,Florida,29,Florida,https://drop-assets.ea.com/images/3H8gtlAFGKdl7HVzlJa5LX/87b1ff42d87cd7eb905c092928ea7254/Florida.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,RE,REDG,Right Edge,Defense,defense,75,85,87,75,57,82,91,74,87,58,44,46,66,44,46,37,37,36,57,67,80,64,54,55,62,54,37,37,16,14,14,36,37,86,83,78,86,80,79,50,61,85,40,45,37,37,37,37,37,41,43,40,0,cfb-26-national-championship,National Championship
Luke Lindenmeyer,31547,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/62.png?im=FaceCrop,padding=0.7",75,"6'3""",80,44,Junior,Previous,La Vista,Nebraska,62,Nebraska,https://drop-assets.ea.com/images/4vgLmSEb0viz84J4VDRtuA/8cf5460594503ad836b9fe9f9b0183b3/Nebraska.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,TE,TE,Tight End,Offense,offense,76,79,85,74,79,81,97,85,89,76,69,73,64,58,70,51,55,45,70,70,72,68,66,67,65,77,22,39,11,11,27,48,36,67,61,64,64,68,41,28,52,55,22,80,80,78,70,68,55,29,41,53,0,cfb-26-national-championship,National Championship
Makell Esteen,3712,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/120.png?im=FaceCrop,padding=0.7",73,"6'1""",80,24,Senior,Previous,Hawthorne,California,120,Washington,https://drop-assets.ea.com/images/2Vab3eSEdDS6NoYhXRaz3X/1cdf2ec66878087df917f8f2e96c7981/Washington.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,FS,FS,Free Safety,Defense,defense,88,91,63,87,77,87,84,94,85,37,37,43,88,61,46,58,57,40,49,60,52,63,53,50,60,56,32,29,21,19,18,22,45,71,36,36,55,80,77,71,83,73,67,67,41,37,35,37,37,41,46,53,0,cfb-26-national-championship,National Championship
Malachi Thomas,9868,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/81.png?im=FaceCrop,padding=0.7",72,"6'0""",80,24,Senior,Previous,Hartwell,Georgia,81,Purdue,https://drop-assets.ea.com/images/2i2SEiHgNVh7btKUFhhelv/23a6897b83256aecdddebdf5e955873b/Purdue.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,HB,HB,Halfback,Offense,offense,87,89,76,81,81,87,89,87,88,91,76,79,81,78,79,75,81,32,52,57,47,41,38,58,53,45,12,25,26,18,13,32,44,54,42,42,50,57,51,42,44,61,36,61,55,60,59,54,50,44,44,70,0,cfb-26-national-championship,National Championship
Malcolm Bell,22740,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/55.png?im=FaceCrop,padding=0.7",74,"6'2""",80,14,Senior,Previous,Montreal,Non-US,55,Michigan State,https://drop-assets.ea.com/images/6xG4IRxPu0HtP9Y7sz10lv/06d752183e221f58fb9fb611cf1bbc9a/MichiganState.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,CB,CB,Cornerback,Defense,defense,90,89,60,86,84,88,85,91,92,54,38,37,86,46,45,55,59,38,56,64,42,62,54,43,47,55,11,33,26,37,23,22,45,65,35,34,48,84,82,81,83,61,80,62,30,35,26,27,28,25,29,51,0,cfb-26-national-championship,National Championship
Mark Gronowski,25517,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/39.png?im=FaceCrop,padding=0.7",74,"6'2""",80,11,Senior,Previous,Naperville,Illinois,39,Iowa,https://drop-assets.ea.com/images/2uJL4jhsAyv8528zATHu8Z/4097856daa9c6dafcaeb4ca71e1fd852/Iowa.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,QB,QB,Quarterback,Offense,offense,81,85,79,81,86,79,93,90,92,77,74,75,80,85,76,79,83,83,62,55,65,57,58,54,54,67,89,73,84,82,81,77,83,63,58,55,52,52,55,31,40,73,45,50,44,43,25,22,25,24,25,29,0,cfb-26-national-championship,National Championship
